DATE,SPY US Equity
9/11/2019,314.8202263
9/12/2019,315.9106944
9/13/2019,315.700989
9/16/2019,314.7258589
9/17/2019,315.5227394
9/18/2019,315.7114742
9/19/2019,315.6905037
9/20/2019,314.20539
9/23/2019,314.1316526
9/24/2019,311.6667183
9/25/2019,313.5101521
9/26/2019,312.8570499
9/27/2019,311.1716247
9/30/2019,312.61477
10/1/2019,308.8963007
10/2/2019,303.4397366
10/3/2019,305.9257388
10/4/2019,310.0655644
10/7/2019,308.7277582
10/8/2019,303.9348303
10/9/2019,306.8211209
10/10/2019,308.8963007
10/11/2019,312.0986085
10/14/2019,311.7509896
10/15/2019,314.8374244
10/16/2019,314.3317969
10/17/2019,315.2587807
10/18/2019,313.8788389
10/21/2019,316.0066882
10/22/2019,314.9743652
10/23/2019,315.8908152
10/24/2019,316.4069766
10/25/2019,317.7026473
10/28/2019,319.4934115
10/29/2019,319.3986064
10/30/2019,320.3782597
10/31/2019,319.5250132
11/1/2019,322.4850412
11/4/2019,323.7807118
11/5/2019,323.422559
11/6/2019,323.4962963
11/7/2019,324.6339583
11/8/2019,325.4345353
11/11/2019,324.8130348
11/12/2019,325.4977387
11/13/2019,325.6030778
11/14/2019,326.0771036
11/15/2019,328.4366989
11/18/2019,328.6789788
11/19/2019,328.5841736
11/20/2019,327.3622403
11/21/2019,326.835545
11/22/2019,327.5623846
11/25/2019,330.1010563
11/26/2019,330.8489637
11/27/2019,332.3237107
11/29/2019,331.0912436
12/2/2019,328.2786903
12/3/2019,326.0771036
12/4/2019,328.08908
12/5/2019,328.6789788
12/6/2019,331.6811424
12/9/2019,330.6382855
12/10/2019,330.2695988
12/11/2019,331.2071165
12/12/2019,334.0618055
12/13/2019,334.2619497
12/16/2019,336.5583415
12/17/2019,336.6320789
12/18/2019,336.6531467
12/19/2019,338.0330885
12/20/2019,339.5078272
12/23/2019,340.0265153
12/24/2019,340.0371007
12/26/2019,341.8472164
12/27/2019,341.7625326
12/30/2019,339.8783187
12/31/2019,340.7039854
1/2/2020,343.8902124
1/3/2020,341.2861864
1/6/2020,342.5881994
1/7/2020,341.6249215
1/8/2020,343.4456225
1/9/2020,345.7744263
1/10/2020,344.779392
1/13/2020,347.1505376
1/14/2020,346.621264
1/15/2020,347.4045889
1/16/2020,350.2944226
1/17/2020,351.3847262
1/21/2020,350.6966705
1/22/2020,350.7390124
1/23/2020,351.1412603
1/24/2020,348.0185462
1/27/2020,342.4400028
1/28/2020,346.0284776
1/29/2020,345.7426699
1/30/2020,346.8647298
1/31/2020,340.5663743
2/3/2020,343.096302
2/4/2020,348.3255249
2/5/2020,352.3480041
2/6/2020,353.5335769
2/7/2020,351.649363
2/10/2020,354.2745599
2/11/2020,354.8885172
2/12/2020,357.1749791
2/13/2020,356.7939021
2/14/2020,357.3655176
2/18/2020,356.4445815
2/19/2020,358.1488425
2/20/2020,356.6774619
2/21/2020,353.0043033
2/24/2020,341.2967718
2/25/2020,330.9547662
2/26/2020,329.737437
2/27/2020,314.9283624
2/28/2020,313.6051784
3/2/2020,327.1863383
3/3/2020,317.8181961
3/4/2020,331.1770611
3/5/2020,320.1681707
3/6/2020,314.875435
3/9/2020,290.2853847
3/10/2020,305.3061688
3/11/2020,290.4229958
3/12/2020,262.6361332
3/13/2020,285.0879182
3/16/2020,253.8925337
3/17/2020,267.6007193
3/18/2020,254.0513158
3/19/2020,254.5911748
3/20/2020,243.6834382
3/23/2020,237.4528957
3/24/2020,258.9669056
3/25/2020,262.8436876
3/26/2020,278.1910579
3/27/2020,269.904969
3/30/2020,278.6703304
3/31/2020,274.5166355
4/1/2020,262.1620556
4/2/2020,268.2115395
4/3/2020,264.3347576
4/6/2020,282.0891409
4/7/2020,282.3767044
4/8/2020,291.8556493
4/9/2020,296.2969078
4/13/2020,293.5916808
4/14/2020,302.2505373
4/15/2020,295.8282858
4/16/2020,297.2554528
4/17/2020,305.2859297
4/20/2020,299.9074273
4/21/2020,290.8012499
4/22/2020,297.2554528
4/23/2020,297.2341518
4/24/2020,301.3771963
4/27/2020,305.7226002
4/28/2020,304.3167343
4/29/2020,312.2833082
4/30/2020,309.3757217
5/1/2020,301.1854873
5/4/2020,302.0162263
5/5/2020,304.8066573
5/6/2020,302.7404603
5/7/2020,306.3935817
5/8/2020,311.4632197
5/11/2020,311.5271227
5/12/2020,305.3178812
5/13/2020,299.9180778
5/14/2020,303.5072963
5/15/2020,304.9025118
5/18/2020,314.1897477
5/19/2020,310.9626462
5/20/2020,316.2452942
5/21/2020,314.0619417
5/22/2020,314.6583697
5/26/2020,318.5351517
5/27/2020,323.2746241
5/28/2020,322.6781961
5/29/2020,324.1160136
6/1/2020,325.4260251
6/2/2020,328.1206016
6/3/2020,332.4873065
6/4/2020,331.6139656
6/5/2020,340.1130645
6/8/2020,344.2241575
6/9/2020,341.657387
6/10/2020,339.7509475
6/11/2020,320.1646781
6/12/2020,323.9988581
6/15/2020,327.0236001
6/16/2020,333.3180455
6/17/2020,331.9334806
6/18/2020,332.0612866
6/19/2020,330.1721456
6/22/2020,332.2902795
6/23/2020,333.8200429
6/24/2020,325.3047167
6/25/2020,328.7921493
6/26/2020,320.9828677
6/29/2020,325.7005296
6/30/2020,329.8726115
7/1/2020,332.1833031
7/2/2020,334.0126005
7/6/2020,339.1688659
7/7/2020,335.6707356
7/8/2020,338.2381707
7/9/2020,336.3125944
7/10/2020,339.7465388
7/13/2020,336.8046861
7/14/2020,341.1693257
7/15/2020,344.303736
7/16/2020,343.1697855
7/17/2020,344.1646666
7/20/2020,346.9460545
7/21/2020,347.6841921
7/22/2020,349.6632566
7/23/2020,345.4911747
7/24/2020,343.2660643
7/27/2020,345.7693135
7/28/2020,343.576296
7/29/2020,347.8018662
7/30/2020,346.5609393
7/31/2020,349.2995366
8/3/2020,351.7279023
8/4/2020,353.0865033
8/5/2020,355.2795207
8/6/2020,357.6543981
8/7/2020,357.9111416
8/10/2020,358.9809062
8/11/2020,356.0176583
8/12/2020,360.981366
8/13/2020,360.3288096
8/14/2020,360.3395073
8/17/2020,361.4841554
8/18/2020,362.2650836
8/19/2020,360.7567155
8/20/2020,361.8799683
8/21/2020,363.1636858
8/24/2020,366.843676
8/25/2020,368.1273936
8/26/2020,371.8180814
8/27/2020,372.6311025
8/28/2020,375.0380729
8/31/2020,373.6794718
9/1/2020,377.1989973
9/2/2020,382.6547968
9/3/2020,369.4859946
9/4/2020,366.4692584
9/8/2020,356.4562618
9/9/2020,363.4953128
9/10/2020,357.1837017
9/11/2020,357.3655617
9/14/2020,362.0725259
9/15/2020,363.9018234
9/16/2020,362.4576412
9/17/2020,359.2697427
9/18/2020,355.1503188
9/21/2020,351.1976403
9/22/2020,354.7743847
9/23/2020,346.5467983
9/24/2020,347.4705221
9/25/2020,353.0880518
9/28/2020,358.9526238
9/29/2020,356.9977664
9/30/2020,359.704492
10/1/2020,362.0138015
10/2/2020,358.5766897
10/5/2020,364.9353465
10/6/2020,359.7474559
10/7/2020,366.009444
10/8/2020,369.2532182
10/9/2020,372.5506974
10/12/2020,378.5441611
10/13/2020,376.073737
10/14/2020,373.7107226
10/15/2020,373.2488607
10/16/2020,373.0233003
10/19/2020,367.3520658
10/20/2020,368.8235793
10/21/2020,368.1254159
10/22/2020,370.1447191
10/23/2020,371.4014131
10/26/2020,364.5379305
10/27/2020,363.2812365
10/28/2020,350.8646701
10/29/2020,354.4306736
10/30/2020,350.7357784
11/2/2020,354.666975
11/3/2020,360.9289631
11/4/2020,368.9954349
11/5/2020,376.1918877
11/6/2020,376.1059599
11/9/2020,380.8319887
11/10/2020,380.273458
11/11/2020,383.0983343
11/12/2020,379.3819571
11/13/2020,384.6342936
11/16/2020,389.4355092
11/17/2020,387.3410191
11/18/2020,382.6794363
11/19/2020,384.2905824
11/20/2020,381.6590437
11/23/2020,383.9468712
11/24/2020,390.1336725
11/25/2020,389.5321779
11/27/2020,390.6170163
11/30/2020,388.8877195
12/1/2020,393.1411453
12/2/2020,393.9682004
12/3/2020,393.8607906
12/4/2020,397.2549385
12/7/2020,396.4386245
12/8/2020,397.5986497
12/9/2020,394.0326462
12/10/2020,393.9037545
12/11/2020,393.4418926
12/14/2020,391.6803728
12/15/2020,396.9756732
12/16/2020,397.5986497
12/17/2020,399.8220314
12/18/2020,398.2323672
12/21/2020,396.8084907
12/22/2020,396.1397002
12/23/2020,396.4956693
12/24/2020,398.0382022
12/28/2020,401.4576632
12/29/2020,400.6917902
12/30/2020,401.2634982
12/31/2020,403.3022305
1/4/2021,397.8116764
1/5/2021,400.55156
1/6/2021,402.9462614
1/7/2021,408.9330148
1/8/2021,411.2629945
1/11/2021,408.4907501
1/12/2021,408.5770457
1/13/2021,409.6773139
1/14/2021,408.2426504
1/15/2021,405.2654541
1/19/2021,408.4476024
1/20/2021,414.0999606
1/21/2021,414.4775036
1/22/2021,413.0104793
1/25/2021,414.6393077
1/26/2021,413.9920911
1/27/2021,403.8739385
1/28/2021,407.3473342
1/29/2021,399.1924051
2/1/2021,405.8371621
2/2/2021,411.5758159
2/3/2021,411.8994242
2/4/2021,416.5809575
2/5/2021,418.2205729
2/8/2021,421.2409169
2/9/2021,420.9604564
2/10/2021,420.7770784
2/11/2021,421.4566558
2/12/2021,423.5385358
2/16/2021,423.1717798
2/17/2021,423.2688622
2/18/2021,421.4674427
2/19/2021,420.7231437
2/22/2021,417.4870607
2/23/2021,417.994047
2/24/2021,422.6000718
2/25/2021,412.4171974
2/26/2021,410.2921696
3/1/2021,420.2377312
3/2/2021,416.9585005
3/3/2021,411.4355856
3/4/2021,406.3441484
3/5/2021,413.8195
3/8/2021,411.7591939
3/9/2021,417.6380779
3/10/2021,420.2377312
3/11/2021,424.4985738
3/12/2021,425.0702818
3/15/2021,427.6052134
3/16/2021,427.0658662
3/17/2021,428.5221036
3/18/2021,422.2872504
3/19/2021,421.5082044
3/22/2021,424.8739498
3/23/2021,421.5298491
3/24/2021,419.3870273
3/25/2021,421.7462958
3/26/2021,428.5427205
3/29/2021,428.3262739
3/30/2021,427.189929
3/31/2021,428.9215022
4/1/2021,433.5534605
4/5/2021,439.7763016
4/6/2021,439.5165656
4/7/2021,440.0252153
4/8/2021,442.1139254
4/9/2021,445.3281582
4/12/2021,445.4904932
4/13/2021,446.8108177
4/14/2021,445.2848688
4/15/2021,450.0683398
4/16/2021,451.572644
4/19/2021,449.3540658
4/20/2021,446.0640768
4/21/2021,450.2847864
4/22/2021,446.1723001
4/23/2021,451.0098827
4/26/2021,451.9514256
4/27/2021,451.8540246
4/28/2021,451.7241567
4/29/2021,454.6028971
4/30/2021,451.6159333
5/3/2021,452.5899433
5/4/2021,449.7977815
5/5/2021,449.9384718
5/6/2021,453.5314862
5/7/2021,456.8322976
5/10/2021,452.3085626
5/11/2021,448.2718326
5/12/2021,438.74818
5/13/2021,444.0186559
5/14/2021,450.8367254
5/17/2021,449.6895582
5/18/2021,445.8151631
5/19/2021,444.6463512
5/20/2021,449.4298222
5/21/2021,449.0618629
5/24/2021,453.6397095
5/25/2021,452.6332326
5/26/2021,453.5314862
5/27/2021,453.7695775
5/28/2021,454.5812524
6/1/2021,454.1808261
6/2/2021,454.8951001
6/3/2021,453.2068162
6/4/2021,457.3517695
6/7/2021,456.9080539
6/8/2021,457.0054549
6/9/2021,456.3236479
6/10/2021,458.4448251
6/11/2021,459.2023884
6/14/2021,460.23051
6/15/2021,459.386368
6/16/2021,456.8214752
6/17/2021,456.6699626
6/18/2021,450.5292359
6/21/2021,456.9790181
6/22/2021,459.4221175
6/23/2021,458.8683483
6/24/2021,461.5829031
6/25/2021,463.2224943
6/28/2021,464.1563011
6/29/2021,464.4060402
6/30/2021,464.7969361
7/1/2021,467.370334
7/2/2021,470.9426882
7/6/2021,470.0848889
7/7/2021,471.7461964
7/8/2021,467.9023868
7/9/2021,472.8971677
7/12/2021,474.5910499
7/13/2021,472.9731752
7/14/2021,473.6789595
7/15/2021,472.0610848
7/16/2021,468.358432
7/19/2021,461.4417463
7/20/2021,468.0544018
7/21/2021,471.8439204
7/22/2021,472.8320183
7/23/2021,477.6965006
7/26/2021,478.8691883
7/27/2021,476.6866862
7/28/2021,476.4912383
7/29/2021,478.4674342
7/30/2021,476.1437752
8/2/2021,475.1448191
8/3/2021,479.0103451
8/4/2021,476.6541115
8/5/2021,479.6726965
8/6/2021,480.4653465
8/9/2021,480.0744506
8/10/2021,480.6716527
8/11/2021,481.8660568
8/12/2021,483.3102
8/13/2021,484.1897158
8/16/2021,485.3298288
8/17/2021,482.1483705
8/18/2021,476.8712759
8/19/2021,477.6096348
8/20/2021,481.4100116
8/23/2021,485.6447171
8/24/2021,486.4156507
8/25/2021,487.4363233
8/26/2021,484.5588952
8/27/2021,488.8913247
8/30/2021,491.0412521
8/31/2021,490.3137514
9/1/2021,490.5743487
9/2/2021,492.0836412
9/3/2021,491.9642008
9/7/2021,490.2051693
9/8/2021,489.6079672
9/9/2021,487.5123309
9/10/2021,483.6685212
9/13/2021,484.9063582
9/14/2021,482.2895274
9/15/2021,486.3179267
9/16/2021,485.5469932
9/17/2021,480.8324814
9/20/2021,472.8149756
9/21/2021,472.3683482
9/22/2021,476.9762354
9/23/2021,482.7714977
9/24/2021,483.5667123
9/27/2021,482.1832568
9/28/2021,472.4663884
9/29/2021,473.2616029
9/30/2021,467.4772339
10/1/2021,473.0328426
10/4/2021,466.9325664
10/5/2021,471.7910006
10/6/2021,473.7518037
10/7/2021,477.8477034
10/8/2021,476.9762354
10/11/2021,473.5230433
10/12/2021,472.3574549
10/13/2021,474.0568175
10/14/2021,482.0307499
10/15/2021,485.701809
10/18/2021,487.1397312
10/19/2021,490.897937
10/20/2021,492.82606
10/21/2021,494.1114754
10/22/2021,493.5994879
10/25/2021,496.246572
10/26/2021,496.6931994
10/27/2021,494.4927426
10/28/2021,499.2640301
